ProductId,Rating,UserId
1,4,374288175360832
2,4,370660063851821
3,5,374288568984990
4,4,5602214909970814
5,3,372781735521796
6,5,374622465643095
7,5,372301500329646
8,4,5602222113563998575
9,3,56022180225333794
10,4,374622916483810
11,1,374283998930606
12,1,5602251646541128
13,5,377548273061963
14,1,374622411403123
15,3,5602222508560393383
16,5,372301628202477
17,3,374622731018593
18,4,5602225286348150
19,5,342514944342879
20,2,372301384189629
21,3,374622172482738
22,2,374283624890919
23,4,374288608844352
24,3,371544266648482
25,3,5602257855029465
26,1,374283222137648
27,5,372301696038027
28,4,56022599783468322
29,3,374288891233503
30,4,560224373260157437
31,1,56022281014069431
32,3,560221540462569626
33,5,56022463163321835
34,5,56022392300139562
35,1,374288528170334
36,1,374363696329903
37,5,372301873916045
38,3,5610143487316100
39,1,56022358561743939
40,1,337941675647985
41,4,5610912317125540720
42,5,374622866432031
43,5,374288134699452
44,2,374622387484297
45,1,5610919148474119
46,5,560222258608412630
47,1,342174670861582
48,4,348249549668857
49,2,5602213302381500058
50,3,372301092441916
51,5,374283561557307
52,4,5602235826566894393
53,4,5602254824567857648
54,1,374283920555380
55,4,56022250601857383
56,3,561026009751526155
57,5,337941175533883
58,3,370554059160935
59,1,374283387728447
60,3,5602237587965866741
61,1,56022411856247791
62,3,56022344994977542
63,3,560225927532617996
64,3,560225757970148042
65,4,376799004319102
66,1,374622669517723
67,4,5602215884253477844
68,2,379037794092440
69,4,560224587755549382
70,3,5602225664687193276
71,3,560221589874237702
72,4,374288658151641
73,5,5610449110004439
74,4,370149343845266
75,3,374288428789662
76,5,5602236411206805536
77,2,5602244839836207
78,4,337941087665195
79,2,56022130619530521
80,2,374288140231803
81,5,5602215881187285
82,3,374283343365821
83,5,374622060937504
84,4,372301212824280
85,4,341932634893665
86,1,560225310116128179
87,5,560221887538445897
88,2,374622685296260
89,1,372301779280181
90,2,374288080589228
91,3,337941709167463
92,3,5602240908494490446
93,5,560225092699524582
94,4,374622270270118
95,4,56022545473466761
96,5,374622206179904
97,3,56022535380042417
98,4,374622694061242
99,5,374283124114646
100,3,56022459783635364
101,1,374283034657767
102,5,56022292321103557
103,4,56022202318470331
104,3,56022503144753943
105,5,337941409797569
106,4,56022398726915196
107,3,56022222575064932
108,4,5610441846511613
109,3,56106762090624339
110,3,560222215907352321
111,5,5610382036813768689
112,3,374881653675174
113,4,56022547286977968
114,4,374655207153866
115,4,372301332516469
116,2,337941540543369
117,2,349141949449013
118,1,5610608450921378026
119,2,56022168321626583
120,2,5610204557548671985
121,3,56102502713095762
122,3,372301861116285
123,5,337941692046161
124,4,337941560374711
125,4,5602229451328032204
